time_s,ambient_temperature_degC,boundary_moisture_kg_per_kg
0.0,28.0,0.01963
60.0,28.528,0.02002
120.0,29.192,0.02053
180.0,29.684,0.021
240.0,30.037,0.02151
300.0,30.834,0.02191
360.0,31.293,0.02233
420.0,31.82,0.02278
480.0,32.121,0.02325
540.0,32.73,0.02377
600.0,33.202,0.02428
660.0,33.879,0.02465
720.0,34.268,0.02506
780.0,34.806,0.02552
840.0,35.142,0.02612
900.0,35.524,0.0266
960.0,36.091,0.02687
1020.0,36.354,0.02732
1080.0,37.067,0.02793
1140.0,37.419,0.02826
1200.0,37.882,0.02891
1260.0,38.134,0.02921
1320.0,38.767,0.02961
1380.0,39.125,0.03029
1440.0,39.458,0.03051
1500.0,39.595,0.03098
1560.0,40.061,0.03137
1620.0,40.238,0.03179
1680.0,40.621,0.03219
1740.0,41.166,0.03262
1800.0,41.513,0.03307
