time_s,r_0_cm,r_0.1_cm,r_0.2_cm,r_0.3_cm,r_0.4_cm,r_0.5_cm,r_0.6_cm,r_0.7_cm,r_0.8_cm,r_0.9_cm,r_1_cm,r_1.1_cm,r_1.2_cm,r_1.3_cm,r_1.4_cm,r_1.5_cm,r_1.6_cm,r_1.7_cm,r_1.8_cm,r_1.9_cm,r_2_cm
1,2.5500,2.5500,2.5500,2.5500,2.5500,2.5500,2.5500,2.5500,2.5500,2.5500,2.5500,2.5500,2.5500,2.5500,2.5500,2.5500,2.5500,2.5500,2.5500,2.5500,2.5267
2,2.5500,2.5500,2.5500,2.5500,2.5500,2.5500,2.5500,2.5500,2.5500,2.5500,2.5500,2.5500,2.5500,2.5500,2.5500,2.5500,2.5500,2.5500,2.5500,2.5500,2.5112
3,2.5500,2.5500,2.5500,2.5500,2.5500,2.5500,2.5500,2.5500,2.5500,2.5500,2.5500,2.5500,2.5500,2.5500,2.5500,2.5500,2.5500,2.5500,2.5500,2.5500,2.4997
4,2.5500,2.5500,2.5500,2.5500,2.5500,2.5500,2.5500,2.5500,2.5500,2.5500,2.5500,2.5500,2.5500,2.5500,2.5500,2.5500,2.5500,2.5500,2.5500,2.5500,2.4903
5,2.5500,2.5500,2.5500,2.5500,2.5500,2.5500,2.5500,2.5500,2.5500,2.5500,2.5500,2.5500,2.5500,2.5500,2.5500,2.5500,2.5500,2.5500,2.5500,2.5500,2.4823
6,2.5500,2.5500,2.5500,2.5500,2.5500,2.5500,2.5500,2.5500,2.5500,2.5500,2.5500,2.5500,2.5500,2.5500,2.5500,2.5500,2.5500,2.5500,2.5500,2.5500,2.4752
7,2.5500,2.5500,2.5500,2.5500,2.5500,2.5500,2.5500,2.5500,2.5500,2.5500,2.5500,2.5500,2.5500,2.5500,2.5500,2.5500,2.5500,2.5500,2.5500,2.5500,2.4687
8,2.5500,2.5500,2.5500,2.5500,2.5500,2.5500,2.5500,2.5500,2.5500,2.5500,2.5500,2.5500,2.5500,2.5500,2.5500,2.5500,2.5500,2.5500,2.5500,2.5499,2.4628
9,2.5500,2.5500,2.5500,2.5500,2.5500,2.5500,2.5500,2.5500,2.5500,2.5500,2.5500,2.5500,2.5500,2.5500,2.5500,2.5500,2.5500,2.5500,2.5500,2.5499,2.4572
10,2.5500,2.5500,2.5500,2.5500,2.5500,2.5500,2.5500,2.5500,2.5500,2.5500,2.5500,2.5500,2.5500,2.5500,2.5500,2.5500,2.5500,2.5500,2.5500,2.5498,2.4520
11,2.5500,2.5500,2.5500,2.5500,2.5500,2.5500,2.5500,2.5500,2.5500,2.5500,2.5500,2.5500,2.5500,2.5500,2.5500,2.5500,2.5500,2.5500,2.5500,2.5498,2.4471
12,2.5500,2.5500,2.5500,2.5500,2.5500,2.5500,2.5500,2.5500,2.5500,2.5500,2.5500,2.5500,2.5500,2.5500,2.5500,2.5500,2.5500,2.5500,2.5500,2.5497,2.4424
13,2.5500,2.5500,2.5500,2.5500,2.5500,2.5500,2.5500,2.5500,2.5500,2.5500,2.5500,2.5500,2.5500,2.5500,2.5500,2.5500,2.5500,2.5500,2.5500,2.5496,2.4380
14,2.5500,2.5500,2.5500,2.5500,2.5500,2.5500,2.5500,2.5500,2.5500,2.5500,2.5500,2.5500,2.5500,2.5500,2.5500,2.5500,2.5500,2.5500,2.5500,2.5494,2.4337
15,2.5500,2.5500,2.5500,2.5500,2.5500,2.5500,2.5500,2.5500,2.5500,2.5500,2.5500,2.5500,2.5500,2.5500,2.5500,2.5500,2.5500,2.5500,2.5500,2.5493,2.4296
16,2.5500,2.5500,2.5500,2.5500,2.5500,2.5500,2.5500,2.5500,2.5500,2.5500,2.5500,2.5500,2.5500,2.5500,2.5500,2.5500,2.5500,2.5500,2.5500,2.5491,2.4256
17,2.5500,2.5500,2.5500,2.5500,2.5500,2.5500,2.5500,2.5500,2.5500,2.5500,2.5500,2.5500,2.5500,2.5500,2.5500,2.5500,2.5500,2.5500,2.5500,2.5489,2.4217
18,2.5500,2.5500,2.5500,2.5500,2.5500,2.5500,2.5500,2.5500,2.5500,2.5500,2.5500,2.5500,2.5500,2.5500,2.5500,2.5500,2.5500,2.5500,2.5500,2.5487,2.4180
19,2.5500,2.5500,2.5500,2.5500,2.5500,2.5500,2.5500,2.5500,2.5500,2.5500,2.5500,2.5500,2.5500,2.5500,2.5500,2.5500,2.5500,2.5500,2.5500,2.5484,2.4144
20,2.5500,2.5500,2.5500,2.5500,2.5500,2.5500,2.5500,2.5500,2.5500,2.5500,2.5500,2.5500,2.5500,2.5500,2.5500,2.5500,2.5500,2.5500,2.5500,2.5481,2.4109
21,2.5500,2.5500,2.5500,2.5500,2.5500,2.5500,2.5500,2.5500,2.5500,2.5500,2.5500,2.5500,2.5500,2.5500,2.5500,2.5500,2.5500,2.5500,2.5500,2.5478,2.4075
22,2.5500,2.5500,2.5500,2.5500,2.5500,2.5500,2.5500,2.5500,2.5500,2.5500,2.5500,2.5500,2.5500,2.5500,2.5500,2.5500,2.5500,2.5500,2.5500,2.5475,2.4042
