time_s,radius_cm,variable,our_CN,screenshot_value,difference
100.0,0.0,temperature,28.000053312984537,28.0001,-4.668701546250986e-05
100.0,0.0,moisture,2.5500000000000007,2.55,8.881784197001252e-16
100.0,0.5,temperature,28.00034742356844,28.0003,4.7423568439342034e-05
100.0,0.5,moisture,2.5500000000000003,2.55,4.440892098500626e-16
100.0,1.0,temperature,28.004045708372892,28.004,4.5708372891084537e-05
100.0,1.0,moisture,2.5499999999999985,2.55,-1.3322676295501878e-15
100.0,1.5,temperature,28.032702535595778,28.0327,2.5355957795625272e-06
100.0,1.5,moisture,2.5499999581481756,2.55,-4.185182422844491e-08
100.0,2.0,temperature,28.180070447941645,28.1801,-2.9552058354198607e-05
100.0,2.0,moisture,2.2470637099208806,2.247,6.37099208806724e-05
300.0,0.0,temperature,28.040791554886187,28.0408,-8.445113813593252e-06
300.0,0.0,moisture,2.5500000000000007,2.55,8.881784197001252e-16
300.0,0.5,temperature,28.063488252756027,28.0635,-1.1747243974014054e-05
300.0,0.5,moisture,2.5500000000000003,2.55,4.440892098500626e-16
300.0,1.0,temperature,28.151396007657617,28.1514,-3.992342382019842e-06
300.0,1.0,moisture,2.5499999990185773,2.55,-9.814224988247133e-10
300.0,1.5,temperature,28.36806993441796,28.3681,-3.0065582038218963e-05
300.0,1.5,moisture,2.5491994393665456,2.5492,-5.606334543273306e-07
300.0,2.0,temperature,28.848852754990208,28.8489,-4.724500979236268e-05
300.0,2.0,moisture,2.050844817807658,2.0508,4.481780765797083e-05
600.0,0.0,temperature,28.453329975921232,28.4533,2.997592123321624e-05
600.0,0.0,moisture,2.5500000000000007,2.55,8.881784197001252e-16
600.0,0.5,temperature,28.53603083297466,28.536,3.083297465877877e-05
600.0,0.5,moisture,2.5499999997897445,2.55,-2.102553686711417e-10
600.0,1.0,temperature,28.80394423992441,28.804,-5.576007558971696e-05
600.0,1.0,moisture,2.5499886035767187,2.55,-1.1396423281073709e-05
600.0,1.5,temperature,29.31591589788715,29.3159,1.5897887152505064e-05
600.0,1.5,moisture,2.535275737412001,2.5353,-2.42625879987024e-05
600.0,2.0,temperature,30.16522795156064,30.1652,2.7951560642947015e-05
600.0,2.0,moisture,1.8769662294729978,1.877,-3.377052700215266e-05
900.0,0.0,temperature,29.32429441094323,29.3243,-5.589056769395029e-06
900.0,0.0,moisture,2.5499999999450247,2.55,-5.49751355549688e-11
900.0,0.5,temperature,29.45825070720654,29.4583,-4.929279346299609e-05
900.0,0.5,moisture,2.5499997965606513,2.55,-2.0343934847844025e-07
900.0,1.0,temperature,29.875454272626552,29.8755,-4.572737344687994e-05
900.0,1.0,moisture,2.549683819241211,2.5497,-1.6180758789285932e-05
900.0,1.5,temperature,30.616142116492902,30.6161,4.211649290297714e-05
900.0,1.5,moisture,2.5045435124664124,2.5045,4.351246641220996e-05
900.0,2.0,temperature,31.73039985945463,31.7304,-1.405453708969162e-07
900.0,2.0,moisture,1.7547154606605497,1.7547,1.5460660549804217e-05
1200.0,0.0,temperature,30.542719022705548,30.5427,1.9022705547655505e-05
1200.0,0.0,moisture,2.549999980417677,2.55,-1.958232287435635e-08
1200.0,0.5,temperature,30.709768715998706,30.7098,-3.128400129526199e-05
1200.0,0.5,moisture,2.5499929840529014,2.55,-7.0159470983988115e-06
1200.0,1.0,temperature,31.222348885291183,31.2223,4.8885291182187984e-05
1200.0,1.0,moisture,2.5481803054172927,2.5482,-1.9694582707341368e-05
1200.0,1.5,temperature,32.11255890126982,32.1126,-4.109873017910104e-05
1200.0,1.5,moisture,2.464569065666927,2.4646,-3.093433307288507e-05
1200.0,2.0,temperature,33.42763535714538,33.4276,3.5357145378611676e-05
1200.0,2.0,moisture,1.658558870900293,1.6586,-4.1129099707104544e-05
1500.0,0.0,temperature,31.995720034894276,31.9957,2.003489427693239e-05
1500.0,0.0,moisture,2.5499993094873443,2.55,-6.905126554990204e-07
1500.0,0.5,temperature,32.18673390285179,32.1867,3.390285178994645e-05
1500.0,0.5,moisture,2.549937817683714,2.5499,3.781768371391436e-05
1500.0,1.0,temperature,32.76602090193316,32.766,2.0901933162065234e-05
1500.0,1.0,moisture,2.544541410430151,2.5445,4.141043015071233e-05
1500.0,1.5,temperature,33.746277483696225,33.7463,-2.2516303772590618e-05
1500.0,1.5,moisture,2.42061068567366,2.4206,1.0685673660137951e-05
1500.0,2.0,temperature,35.12026154950938,35.1203,-3.8450490620789424e-05
1500.0,2.0,moisture,1.578724143137123,1.5787,2.414313712306715e-05
1800.0,0.0,temperature,33.57534473150271,33.5753,4.4731502711670146e-05
1800.0,0.0,moisture,2.5499923989651467,2.55,-7.601034853088606e-06
1800.0,0.5,temperature,33.77200182770004,33.772,1.8277000393140952e-06
1800.0,0.5,moisture,2.5497238717296864,2.5497,2.387172968632001e-05
1800.0,1.0,temperature,34.36416070907925,34.3642,-3.9290920746282154e-05
1800.0,1.0,moisture,2.5383001146086026,2.5383,1.1460860260825712e-07
1800.0,1.5,temperature,35.362124444970085,35.3621,2.444497008724511e-05
1800.0,1.5,moisture,2.3754704462452496,2.3755,-2.9553754750555328e-05
1800.0,2.0,temperature,36.78556017781524,36.7856,-3.982218476039634e-05
1800.0,2.0,moisture,1.5102354271891563,1.5103,-6.457281084371047e-05
